,rl_yaw,rl_roll,rl_pitch
0,39.5625,16.25,69.25
1,40.3125,17.3125,78.8125
2,39.6875,17.75,80.625
3,39.75,17.75,79.625
4,39.375,17.375,74.3125
5,38.875,16.0625,65.3125
6,37.875,14.6875,55.5
7,37.25,12.625,42.75
8,37.0,12.0,41.125
9,36.9375,11.5,39.5
10,36.6875,11.25,37.9375
11,36.0,11.0625,37.375
12,35.5625,10.75,36.6875
13,35.25,10.6875,36.25
14,35.1875,10.75,36.1875
15,35.3125,10.5625,36.25
16,35.5625,10.4375,36.5
17,35.5625,10.3125,36.8125
18,35.5,10.1875,36.8125
19,35.375,10.125,36.8125
20,35.5,10.1875,36.9375
21,36.1875,10.4375,37.0625
22,36.8125,10.6875,36.8125
23,37.125,10.8125,36.75
24,37.0,11.0,36.75
25,36.6875,10.9375,36.625
26,36.5,11.0,36.625
27,36.375,11.0,36.5
28,36.4375,10.9375,36.4375
29,36.6875,10.9375,36.375
30,37.625,11.0,36.3125
31,38.875,11.125,36.25
32,41.125,11.4375,36.25
33,44.9375,11.875,36.1875
34,49.3125,12.375,36.25
35,54.625,13.0625,36.8125
36,61.1875,13.3125,38.0
37,67.9375,12.125,39.875
38,75.75,10.8125,41.0
39,82.1875,12.125,41.5625
40,86.75,13.0,43.125
41,89.3125,13.25,43.9375
42,90.5625,13.0625,44.375
43,90.9375,12.8125,44.4375
44,91.0625,12.5,44.25
45,91.125,12.375,44.0625
46,91.0625,12.25,43.9375
47,90.75,12.25,44.0
48,90.3125,12.25,43.8125
49,89.6875,12.125,43.9375
50,87.0625,12.375,43.9375
51,83.5625,13.4375,43.6875
52,79.0625,13.375,43.9375
53,74.4375,12.75,45.375
54,68.8125,12.625,46.25
55,60.9375,12.875,45.6875
56,52.5,13.0,44.5625
57,45.75,12.8125,43.4375
58,40.4375,12.75,42.8125
59,35.375,12.5625,42.75
60,30.3125,12.625,43.0
61,26.1875,12.5,43.5625
62,20.6875,12.1875,44.125
63,13.6875,11.875,44.75
64,9.0625,11.625,45.4375
65,4.0,11.625,46.5625
66,-1.875,11.6875,48.4375
67,-6.5,12.0,50.6875
68,-11.5625,12.375,51.625
69,-17.0625,12.5625,51.6875
70,-17.75,13.3125,51.9375
71,-19.125,13.4375,52.4375
72,-19.0625,13.5,52.25
73,-19.1875,13.625,52.3125
74,-19.4375,13.8125,52.375
75,-19.4375,13.875,52.3125
76,-19.5625,13.8125,52.0
77,-19.9375,13.1875,51.5
78,-22.3125,11.25,50.0625
79,-20.8125,11.1875,48.8125
80,-17.0,12.4375,47.6875
81,-10.5,14.125,44.1875
82,-3.625,14.125,44.75
83,4.5,14.125,44.75
84,15.625,14.25,44.5
85,23.9375,14.8125,43.9375
86,29.625,15.375,43.375
87,32.625,15.4375,42.9375
88,34.5625,14.75,42.3125
89,36.375,14.375,41.625
90,37.625,14.1875,41.25
91,38.125,13.9375,40.9375
92,37.6875,13.75,40.625
93,37.3125,13.5625,40.6875
94,37.0625,13.5,40.8125
95,37.25,13.5,41.0625
96,37.5,13.625,42.625
97,38.1875,13.8125,45.125
98,38.3125,14.1875,49.0
99,39.1875,15.0,55.0625
100,39.5,15.8125,61.8125
101,39.875,16.6875,69.0
102,39.9375,17.625,75.125
103,39.8125,17.875,78.375
104,40.0625,17.8125,80.0
105,40.25,17.75,81.125
106,40.25,17.75,82.125
107,40.1875,17.6875,82.8125
108,40.3125,17.6875,83.0
109,40.3125,17.625,83.25
110,40.0,17.5,82.4375
111,39.875,17.5625,80.1875
112,39.6875,17.5625,77.375
113,39.5,17.5,74.1875
114,39.25,17.3125,71.1875
115,38.8125,17.0,67.75
116,38.1875,16.4375,63.9375
117,37.375,15.6875,59.1875
118,36.4375,15.125,54.3125
119,36.1875,14.4375,49.5625
120,35.625,13.4375,45.1875
121,35.375,11.5625,39.8125
122,34.6875,9.5,33.9375
123,34.125,7.8125,27.75
124,33.875,7.1875,23.0
125,33.5,6.9375,19.5625
126,33.25,6.5625,15.8125
127,33.3125,5.8125,12.625
128,33.625,5.0625,9.5625
129,33.625,4.25,7.625
130,33.4375,3.75,6.75
131,33.625,3.5,6.375
132,33.75,3.25,6.0625
133,34.0,3.0625,5.875
134,34.0625,2.875,6.0625
135,34.4375,3.0,7.0625
136,34.6875,3.5625,9.25
137,34.9375,4.4375,12.375
138,34.9375,5.5625,16.6875
139,34.9375,6.75,22.1875
140,34.9375,8.375,29.875
141,34.375,10.375,37.0625
142,33.4375,12.25,44.6875
143,32.625,13.5,49.6875
144,32.25,14.0,52.125
145,32.25,14.25,53.0
146,32.5,14.25,52.6875
147,32.5,14.3125,51.875
148,32.8125,14.25,51.375
149,33.0625,14.375,51.375
150,32.8125,14.4375,51.0625
151,32.75,14.4375,51.0
152,32.875,14.3125,50.75
153,33.1875,14.125,50.5
154,34.5,14.0,50.6875
155,37.25,13.875,50.6875
156,40.5625,13.6875,50.125
157,42.3125,13.5625,49.625
158,42.1875,13.25,48.4375
159,41.5,12.8125,46.5
160,40.8125,12.5,44.625
161,40.0,12.3125,43.5625
162,39.1875,12.375,42.625
163,37.875,12.125,41.875
164,36.375,11.75,41.5625
165,35.6875,11.6875,41.5625
166,34.8125,11.75,41.3125
167,34.5625,11.5625,41.125
168,34.875,11.5,41.125
169,34.5625,11.3125,40.9375
170,34.8125,11.1875,40.9375
171,34.75,11.1875,40.875
172,34.75,11.1875,40.5
