,rl_yaw,rl_roll,rl_pitch
0,-56.6875,-11.1875,-49.875
1,-56.875,-11.25,-49.625
2,-57.625,-11.3125,-49.625
3,-57.9375,-11.1875,-49.625
4,-57.0,-10.375,-49.8125
5,-57.75,-10.375,-49.9375
6,-57.625,-10.875,-49.6875
7,-58.0,-11.0,-49.8125
8,-57.5,-11.0,-50.0625
9,-56.8125,-10.8125,-50.125
10,-56.375,-10.875,-49.9375
11,-56.25,-11.125,-50.0
12,-56.4375,-11.1875,-50.25
13,-56.4375,-11.1875,-50.5625
14,-56.875,-11.125,-50.5
15,-56.5625,-11.0625,-50.6875
16,-56.9375,-11.25,-50.75
17,-56.3125,-10.9375,-50.5625
18,-56.375,-11.3125,-50.375
19,-56.9375,-11.9375,-50.0
20,-57.3125,-12.1875,-49.75
21,-56.9375,-12.4375,-49.5625
22,-57.0,-11.9375,-49.625
23,-57.1875,-11.8125,-49.5
24,-57.1875,-11.75,-49.125
25,-57.25,-11.8125,-48.875
26,-57.3125,-11.8125,-48.875
27,-57.375,-11.8125,-48.875
28,-57.4375,-11.8125,-49.0625
29,-57.5625,-11.75,-49.0625
30,-58.25,-11.6875,-49.0
31,-59.0625,-11.625,-48.8125
32,-59.6875,-11.6875,-48.6875
33,-59.1875,-11.625,-48.6875
34,-58.8125,-11.4375,-48.625
35,-58.375,-11.375,-48.8125
36,-58.125,-11.3125,-48.9375
37,-58.0625,-11.3125,-48.8125
38,-57.875,-11.375,-48.8125
39,-57.375,-11.5,-49.5625
40,-57.6875,-11.875,-51.25
41,-57.9375,-12.0,-53.0625
42,-58.0,-12.0,-54.625
43,-57.8125,-12.0,-55.375
44,-57.5625,-12.0,-55.0625
45,-58.0,-12.0625,-55.3125
46,-58.0625,-12.0625,-55.9375
47,-57.75,-12.1875,-56.6875
48,-57.4375,-12.5,-57.5
49,-57.25,-12.875,-58.625
50,-56.8125,-13.0,-59.6875
51,-56.4375,-13.125,-61.625
52,-56.6875,-13.0625,-64.5625
53,-57.3125,-12.375,-68.1875
54,-56.5,-11.875,-71.5625
55,-56.25,-11.75,-73.5
56,-56.0,-11.9375,-74.25
57,-55.9375,-12.3125,-74.1875
58,-56.1875,-12.625,-73.9375
59,-58.1875,-12.75,-73.875
60,-60.1875,-12.75,-73.6875
61,-64.1875,-12.875,-73.5
62,-67.3125,-13.0625,-73.1875
63,-69.875,-13.3125,-72.875
64,-71.8125,-13.8125,-72.6875
65,-72.3125,-14.0,-72.625
66,-71.0625,-14.0625,-72.1875
67,-71.125,-13.9375,-70.8125
68,-71.625,-13.5,-68.0
69,-72.5625,-13.5,-63.5625
70,-70.375,-14.1875,-59.125
71,-68.125,-14.6875,-55.0
72,-66.6875,-14.625,-52.0625
73,-65.5,-14.625,-48.625
74,-64.1875,-14.5625,-45.25
75,-62.875,-14.6875,-41.4375
76,-62.25,-14.75,-37.625
77,-61.875,-14.5625,-34.6875
78,-61.625,-14.4375,-33.0625
79,-61.4375,-14.1875,-32.25
80,-61.6875,-13.875,-31.5
81,-63.3125,-13.6875,-31.1875
82,-65.875,-14.0,-31.5
83,-69.3125,-14.75,-32.25
84,-72.4375,-15.5,-32.6875
85,-73.875,-15.5625,-32.9375
86,-74.375,-15.4375,-33.6875
87,-74.1875,-15.4375,-36.1875
88,-73.5625,-15.4375,-39.75
89,-74.0625,-16.125,-44.125
90,-74.4375,-16.875,-49.9375
91,-73.5,-16.375,-54.875
92,-72.6875,-15.9375,-58.6875
93,-72.3125,-15.75,-62.4375
94,-72.6875,-15.3125,-65.6875
95,-72.0625,-14.875,-68.6875
96,-71.375,-14.4375,-70.6875
97,-69.9375,-14.25,-71.625
98,-68.125,-14.5,-71.6875
99,-67.6875,-14.8125,-71.5625
100,-69.5625,-14.6875,-71.3125
101,-71.6875,-14.5625,-70.75
102,-73.5625,-14.6875,-70.375
103,-73.6875,-14.75,-70.25
104,-74.3125,-14.625,-69.8125
105,-75.25,-14.375,-68.375
106,-75.3125,-14.5,-64.6875
107,-74.5625,-14.6875,-60.1875
108,-73.4375,-14.875,-55.0
109,-73.375,-15.3125,-49.25
110,-73.5625,-16.0,-44.4375
111,-73.1875,-16.5,-39.8125
112,-73.25,-16.6875,-36.4375
113,-73.0,-16.4375,-34.4375
114,-72.6875,-16.125,-33.3125
115,-72.75,-16.0625,-32.625
116,-73.5,-16.0625,-32.625
117,-75.25,-16.25,-32.75
118,-77.6875,-16.5625,-33.4375
119,-79.125,-16.9375,-34.3125
120,-79.75,-16.75,-35.0
121,-80.5625,-16.375,-35.8125
122,-81.0625,-16.25,-36.8125
123,-80.375,-15.9375,-39.75
124,-78.75,-15.375,-45.6875
125,-77.5625,-14.8125,-51.75
126,-77.25,-14.5,-56.6875
127,-77.4375,-13.9375,-61.4375
128,-77.375,-13.125,-64.75
129,-77.0,-12.4375,-67.0
130,-76.6875,-12.0625,-68.375
131,-77.0,-11.625,-68.75
132,-76.3125,-11.4375,-68.75
133,-75.5,-11.4375,-68.5
134,-74.125,-11.3125,-68.375
135,-71.0,-11.1875,-68.5
136,-66.875,-10.8125,-68.9375
137,-60.9375,-10.8125,-70.0
138,-54.25,-10.9375,-70.8125
139,-39.9375,-11.5625,-72.125
140,-34.625,-11.875,-71.6875
141,-30.1875,-11.875,-71.0
142,-26.0,-12.0,-70.25
143,-21.5,-12.25,-69.6875
144,-16.4375,-12.25,-69.375
145,-10.6875,-12.4375,-69.4375
146,-5.25,-12.875,-69.0
147,1.5625,-13.1875,-68.375
148,9.9375,-13.25,-67.6875
149,15.5,-12.375,-67.25
150,17.375,-12.5,-67.1875
151,18.25,-13.25,-68.0625
152,19.6875,-13.1875,-68.8125
153,18.6875,-13.0625,-68.75
154,16.125,-12.875,-68.375
155,14.6875,-13.25,-68.375
156,14.875,-13.4375,-68.5
157,14.1875,-13.75,-68.375
158,13.8125,-13.8125,-67.625
159,12.5625,-13.3125,-65.3125
160,11.875,-13.125,-61.125
161,12.875,-12.625,-55.5625
162,14.5625,-12.3125,-51.3125
163,15.3125,-13.5,-48.625
164,15.9375,-13.375,-46.625
165,16.9375,-12.8125,-44.6875
166,18.25,-12.1875,-41.9375
167,19.3125,-11.9375,-38.8125
168,19.4375,-10.9375,-36.3125
169,18.6875,-9.9375,-33.9375
170,17.9375,-9.125,-31.625
171,17.6875,-8.5625,-30.1875
172,17.1875,-8.1875,-29.625
173,16.9375,-7.9375,-29.4375
174,14.25,-8.625,-28.8125
175,10.9375,-10.3125,-27.5625
176,8.6875,-11.3125,-26.9375
177,9.1875,-10.75,-27.25
178,7.8125,-11.0,-28.6875
179,6.1875,-11.6875,-31.3125
180,3.8125,-12.6875,-35.4375
181,0.8125,-13.6875,-40.5
182,-2.125,-14.6875,-45.8125
183,-3.4375,-15.375,-51.1875
184,-4.375,-16.0625,-56.375
185,-5.4375,-16.375,-60.0625
