,rl_yaw,rl_roll,rl_pitch
0,111.8125,-70.8125,45.75
1,112.375,-70.5,46.5
2,112.1875,-70.9375,46.5625
3,112.625,-71.375,46.25
4,112.625,-71.875,45.75
5,112.875,-72.625,44.1875
6,112.8125,-73.625,42.625
7,112.8125,-74.3125,40.75
8,112.625,-74.3125,40.5625
9,112.5625,-74.3125,40.375
10,112.75,-74.8125,40.5
11,112.75,-75.5,40.4375
12,113.0,-76.1875,40.125
13,113.0625,-76.625,40.0625
14,113.0625,-76.6875,40.0625
15,113.125,-76.625,39.8125
16,113.3125,-76.4375,39.625
17,113.25,-76.3125,39.5
18,113.375,-76.5,39.3125
19,113.4375,-76.6875,39.1875
20,113.5,-76.625,39.125
21,113.375,-75.875,39.375
22,113.1875,-75.125,39.5
23,113.0,-74.6875,39.5625
24,112.8125,-74.625,39.75
25,112.625,-74.8125,39.625
26,112.6875,-75.0,39.625
27,112.6875,-75.125,39.5625
28,112.6875,-75.125,39.5625
29,112.625,-74.8125,39.625
30,112.5625,-73.875,39.75
31,112.0625,-72.25,40.0
32,111.5,-69.625,40.5625
33,110.875,-65.5,41.1875
34,110.3125,-60.875,41.875
35,110.3125,-55.6875,42.6875
36,110.3125,-49.4375,43.25
37,109.875,-42.875,42.6875
38,109.625,-35.5,42.125
39,108.75,-28.4375,43.875
40,108.25,-23.3125,44.75
41,107.5625,-19.9375,44.9375
42,107.5,-18.625,44.75
43,107.375,-18.125,44.4375
44,107.4375,-18.0,44.0625
45,107.4375,-17.875,43.9375
46,107.3125,-17.8125,43.875
47,107.4375,-18.3125,44.0625
48,107.5625,-18.8125,44.0
49,108.25,-20.0625,44.0
50,109.375,-23.4375,44.1875
51,111.625,-28.625,45.375
52,113.6875,-34.625,45.5
53,117.0,-41.75,45.1875
54,118.8125,-48.3125,44.75
55,118.625,-55.5625,44.75
56,118.3125,-63.3125,44.5
57,119.6875,-71.0,44.125
58,120.625,-76.6875,43.625
59,121.0,-82.0,43.3125
60,121.6875,-87.5,43.25
61,123.6875,-92.9375,42.6875
62,124.3125,-98.875,42.25
63,124.1875,-105.625,41.9375
64,126.5,-112.625,41.8125
65,128.5625,-119.5625,42.0
66,129.5625,-126.25,42.0
67,130.25,-131.3125,42.1875
68,130.625,-136.4375,42.375
